validator	P1	P2	P3	P4	P5	min	max	spread
647551	40	158	96	86	75	40	158	118
1044932	54	175	102	66	95	54	175	121
1415953	57	162	90	100	95	57	162	105
1202537	102	235	69	99	102	69	235	166
871741	72	167	81	86	83	72	167	95
2106493	103	192	74	153	147	74	192	118
1923945	78	231	102	117	127	78	231	153
1826164	81	242	107	125	127	81	242	161
1760972	163	82	177	96	167	82	177	95
1721794	83	175	114	86	99	83	175	92
830351	84	167	105	86	99	84	167	83
1007517	97	176	120	86	99	86	176	90
219667	88	184	139	125	176	88	184	96
2088044	108	235	91	88	117	88	235	147
1467881	88	256	139	125	161	88	256	168
2156301	221	291	171	168	89	89	291	202
1281444	147	175	121	128	95	95	175	80
329353	141	246	148	108	98	98	246	148
2228591	128	192	152	117	99	99	192	93
1632779	108	230	147	99	147	99	230	131
2106089	99	263	137	131	152	99	263	164
44250	109	235	139	99	172	99	235	136
2118571	100	291	157	192	212	100	291	191
1459528	133	235	131	127	101	101	235	134
369800	140	120	131	102	122	102	140	38
2061514	154	175	148	102	131	102	175	73
1632738	103	192	107	123	111	103	192	89
2088222	104	290	173	189	182	104	290	186
2044366	137	235	107	126	107	107	235	128
1412324	139	235	122	128	107	107	235	128
263706	141	263	107	165	153	107	263	156
1465997	132	263	173	131	107	107	263	156
1466610	160	263	117	176	166	117	263	146
1038994	117	175	121	125	122	117	175	58
1259404	225	244	117	165	147	117	244	127
1726434	252	117	181	186	136	117	252	135
383867	118	263	147	128	141	118	263	145
2206223	120	290	182	139	218	120	290	170
213907	256	256	181	170	122	122	256	134
1470573	179	192	158	126	136	126	192	66
497564	146	178	139	126	183	126	183	57
906190	176	248	158	132	127	127	248	121
1912339	158	235	157	127	127	127	235	108
933249	128	291	157	192	182	128	291	163
925095	134	169	131	154	167	131	169	38
1562617	162	285	177	131	156	131	285	154
629009	161	291	177	132	218	132	291	159
1638718	178	256	163	153	141	141	256	115
1884804	143	290	196	246	258	143	290	147
1884824	144	291	197	251	256	144	291	147
667522	169	291	157	181	146	146	291	145
1828950	192	291	177	147	207	147	291	144
608078	186	263	163	153	147	147	263	116
566214	221	263	157	148	190	148	263	115
1480945	149	291	213	263	282	149	291	142
426919	221	227	181	163	152	152	227	75
2054407	153	291	212	269	286	153	291	138
426451	178	291	172	153	167	153	291	138
2001628	214	291	181	153	190	153	291	138
1588408	153	222	181	165	181	153	222	69
1637797	203	263	176	153	167	153	263	110
2144022	174	254	167	153	157	153	254	101
2058945	204	291	154	193	172	154	291	137
1689331	154	291	212	264	262	154	291	137
1972053	253	290	246	156	242	156	290	134
1902761	221	263	157	167	176	157	263	106
682419	229	291	157	233	204	157	291	134
4789	193	168	172	199	157	157	199	42
1981555	190	226	157	215	213	157	226	69
2201155	182	263	181	197	157	157	263	106
1151806	188	222	158	199	183	158	222	64
1291462	174	235	181	161	190	161	235	74
1581009	218	263	181	161	188	161	263	102
2095071	245	291	163	176	217	163	291	128
1557957	315	165	237	265	203	165	315	150
984689	256	291	208	165	222	165	291	126
984946	255	291	208	165	223	165	291	126
1676690	283	291	166	223	197	166	291	125
2000942	243	291	167	245	232	167	291	124
1428837	169	291	181	212	189	169	291	122
128535	169	285	223	191	193	169	285	116
1817050	218	262	172	223	203	172	262	90
809698	203	256	181	172	176	172	256	84
1952782	218	249	172	223	213	172	249	77
800091	252	291	172	251	253	172	291	119
1841786	214	291	181	173	197	173	291	118
533727	284	291	173	223	192	173	291	118
1947354	214	246	173	233	208	173	246	73
2210621	175	291	238	302	307	175	307	132
1411654	221	284	176	182	217	176	284	108
972455	178	291	237	305	285	178	305	127
1899061	180	291	247	306	305	180	306	126
1417516	219	285	181	187	189	181	285	104
330094	215	291	181	214	207	181	291	110
764540	238	232	181	216	192	181	238	57
2038440	214	291	181	201	213	181	291	110
2104128	209	250	181	215	192	181	250	69
856932	207	233	181	193	188	181	233	52
1356669	213	291	181	182	202	181	291	110
687030	257	255	181	215	202	181	257	76
687059	237	257	181	204	201	181	257	76
1864728	284	291	181	214	192	181	291	110
967790	239	291	181	222	201	181	291	110
1807598	240	291	181	193	212	181	291	110
1566420	203	263	181	214	181	181	263	82
380663	207	263	181	195	192	181	263	82
1038215	283	291	181	249	182	181	291	110
1038313	284	291	181	245	181	181	291	110
1179259	209	290	222	266	183	183	290	107
319771	185	285	233	212	232	185	285	100
328971	185	291	251	303	254	185	303	118
1683586	186	263	196	229	240	186	263	77
1194970	278	290	189	251	222	189	290	101
1135781	275	291	189	251	239	189	291	102
1686831	189	291	270	305	313	189	313	124
1395164	284	290	212	191	269	191	290	99
1964755	248	291	233	191	241	191	291	100
549607	283	291	242	191	267	191	291	100
2208150	220	290	202	192	232	192	290	98
895747	283	291	243	193	267	193	291	98
613773	243	291	214	193	217	193	291	98
1838830	369	195	236	313	232	195	369	174
703198	284	263	197	251	239	197	284	87
1404757	284	291	222	252	197	197	291	94
2199751	335	291	285	303	207	207	335	128
2227127	338	209	278	303	207	207	338	131
1267753	328	291	270	264	208	208	328	120
1737977	283	291	208	298	239	208	298	90
534480	233	208	257	212	232	208	257	49
1011516	284	291	211	262	237	211	291	80
1474731	278	291	241	245	212	212	291	79
1575122	238	291	253	224	212	212	291	79
714608	274	355	297	212	291	212	355	143
